Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted)
Random Forest,0.9987441158027679,0.912895245101239,0.9417377486965909,0.9234583290554293,0.9987851471797934
Decision Tree,0.998576311303841,0.91897212707426,0.9127275902809862,0.915201758111701,0.9985634282886194
Logistic Regression,0.8341543978026442,0.3963792683027809,0.9177491128169323,0.46634601484410515,0.8820333989544598
